ISO_A2,number_CRanimals
AE,12
AF,2
AG,9
AI,8
AL,18
AM,5
AO,20
AR,25
AS,3
AT,10
AU,85
AW,9
AZ,6
BA,13
BB,7
BD,36
BE,8
BF,8
BG,10
BH,10
BI,5
BJ,22
BL,6
BM,13
BN,14
BO,19
BR,77
BS,10
BT,9
BW,5
BY,4
BZ,9
CA,17
CD,23
CF,9
CG,14
CH,5
CI,22
CK,1
CL,19
CM,58
CN,131
CO,30
CR,27
CU,30
CV,12
CW,9
CY,12
CZ,6
DE,19
DJ,10
DK,9
DM,9
DO,22
DT,1
DZ,21
EC,54
EE,3
EG,22
EH,12
ER,14
ES,44
ET,11
FI,3
FJ,4
FM,2
FO,6
FR,63
GA,15
GB,14
GD,8
GE,7
GG,1
GH,27
GI,9
GL,2
GM,20
GN,18
GQ,14
GR,50
GT,41
GU,7
GW,19
GY,12
HN,38
HR,29
HT,43
HU,7
ID,107
IE,11
IL,25
IM,1
IN,93
IO,2
IQ,10
IR,20
IS,5
IT,31
JE,1
JM,17
JO,4
JP,35
KE,26
KH,37
KI,1
KM,5
KN,8
KP,9
KR,13
KW,9
KY,6
KZ,12
LA,37
LB,10
LC,8
LK,56
LR,19
LS,2
LT,2
LU,2
LV,3
LY,17
MA,24
MC,10
MD,5
ME,17
MF,6
MG,87
MH,1
MK,10
ML,6
MM,39
MN,4
MP,7
MR,19
MS,6
MT,14
MU,7
MV,5
MW,16
MX,141
MY,48
MZ,18
NA,15
NC,24
NE,7
NF,2
NG,23
NI,24
NL,21
NO,10
NP,13
NR,1
NU,1
NZ,30
OM,15
PA,42
PE,32
PF,18
PG,30
PH,32
PK,24
PL,6
PM,2
PN,1
PR,13
PS,5
PT,41
PW,11
PY,3
QA,9
RO,11
RS,9
RU,21
RW,8
SA,14
SB,7
SC,10
SD,17
SE,7
SG,24
SH,5
SI,17
SK,7
SL,17
SM,1
SN,22
SO,13
SR,10
SS,7
ST,7
SV,11
SX,6
SY,16
SZ,5
TC,5
TD,9
TF,4
TG,23
TH,50
TJ,2
TL,7
TM,7
TN,21
TO,6
TR,48
TT,12
TV,8
TZ,50
UA,9
UG,12
UM,4
US,133
UY,14
UZ,6
VC,7
VE,23
VG,10
VI,7
VN,69
VU,2
WF,3
WS,1
YE,10
ZA,39
ZM,11
ZW,8
